id,title_en,title_es,current_type,current_route,current_level,current_domain,learning_objective,actual_user_action,estimated_minutes,prerequisites,related_concepts,primary_sources,images,interactive_elements,technical_accuracy_status,content_depth,cognitive_load,duplication_candidates,target_route,target_stage,target_type,recommended_action,migration_notes,confidence
concept:big-o-as-tradeoff,"Big-O as a decision tool, not trivia","Big-O como herramienta de decisión, no como trivia",spine-concept,/[locale]/lesson/technical-depth-l3,L3,technical-depth,Your query is fast on today's table. What lets you say whether it stays fast when the table is a thousand times bigger?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,,exact-flat-vector-search,roadmap.sh/computer-science — Asymptotic Notation / Algorithmic Complexity|roadmap.sh/computer-science — Asymptotic Notation / Algorithmic Complexity,schematic:compare,big-o|cloze|categorize,sourced,9,680,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:data-structure-selection,Choosing a data structure by access pattern,Elegir una estructura de datos según el patrón de acceso,spine-concept,/[locale]/lesson/technical-depth-l3,L3,technical-depth,"You need to find one record by id thousands of times a second. Does a list, a hash map, or a tree earn its keep here?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,big-o-as-tradeoff,,"roadmap.sh/computer-science — Data Structures (Arrays, Hash Tables, Trees)|roadmap.sh/computer-science — Data Structures (Arrays, Hash Tables, Trees)",schematic:flow,decision-flow|match|order,sourced,8,549,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:memory-model-basics,"Memory, allocation and cache locality","Memoria, asignación y localidad de cache",spine-concept,/[locale]/lesson/technical-depth-l3,L3,technical-depth,Two loops have the same Big-O and one runs ten times slower. What does the way the data sits in memory have to do with it?,read+answer-check+graded-checkpoint+self-graded-recall,4,data-structure-selection,hnsw-index|kv-cache-memory-cost|weight-quantization-vs-kv-cache-quantization,roadmap.sh/computer-science — Memory Allocation / How CPU Executes Programs|roadmap.sh/computer-science — Memory Allocation / How CPU Executes Programs,schematic:stack,categorize|cloze,sourced,10,737,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:acid-transactions,What a transaction actually guarantees (ACID),Qué garantiza realmente una transacción (ACID),spine-concept,/[locale]/lesson/technical-depth-l3,L3,technical-depth,"The process dies halfway through moving money between two accounts. What exactly does the database promise you here, and what does it not?",read+answer-check+graded-checkpoint+self-graded-recall,3,,,"Kleppmann, Designing Data-Intensive Applications, Ch.7 (Transactions — ACID)|Kleppmann, Designing Data-Intensive Applications, Ch.7 (Transactions — ACID)",schematic:flow,match|order,sourced,8,553,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:concurrency-and-races,"Concurrency: races, locks and deadlock","Concurrencia: condiciones de carrera, locks y deadlock",spine-concept,/[locale]/lesson/technical-depth-l4,L4,technical-depth,"Two requests read the same counter and both write five instead of six. When does a lock fix that, and when does it freeze everything?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,data-structure-selection,,"roadmap.sh/computer-science — Concurrency, Processes & Threads, Locks/Deadlock|roadmap.sh/computer-science — Concurrency, Processes & Threads, Locks/Deadlock",schematic:compare,decision-flow|cloze|categorize,sourced,8,614,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:indexing-tradeoffs,Indexes: B-tree vs hash and their cost,Índices: B-tree vs hash y su costo,spine-concept,/[locale]/lesson/technical-depth-l4,L4,technical-depth,A new index made the report instant and doubled the time of the nightly load. Which indexes are worth paying that tax on writes?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,data-structure-selection,structural-markdown-aware-chunking|parent-document-retrieval|dense-retrieval|learned-sparse-retrieval|scalar-quantization-int8|binary-quantization|recall-latency-memory-triangle|exact-flat-vector-search|ivf-pq-index|bm25-lexical-retrieval|prefilter-vs-postfilter-metadata-filtering,"Kleppmann, DDIA, Ch.3 (Storage & Retrieval — Hash Indexes, B-Trees)|Kleppmann, DDIA, Ch.3 (Storage & Retrieval — Hash Indexes, B-Trees)",schematic:compare,big-o|match|categorize,sourced,8,627,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:isolation-levels,Isolation levels and concurrency anomalies,Niveles de aislamiento y anomalías de concurrencia,spine-concept,/[locale]/lesson/technical-depth-l4,L4,technical-depth,"Two people book the last seat at the same moment and both succeed. Which isolation level would have caught that, and what does it cost?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,acid-transactions|concurrency-and-races,,"Kleppmann, DDIA, Ch.7 (Weak Isolation Levels)|Kleppmann, DDIA, Ch.7 (Weak Isolation Levels)",schematic:stack,spectrum|order|match,sourced,8,625,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:network-latency-throughput,"The network: latency, throughput and tail","La red: latencia, throughput y cola (tail)",spine-concept,/[locale]/lesson/technical-depth-l4,L4,technical-depth,"The average call answers in milliseconds, yet one page in a hundred takes seconds. Why does adding bandwidth not make that page fast?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,,prefill-vs-decode|ttft-vs-itl-vs-throughput,"roadmap.sh/backend — Networking; Kleppmann, DDIA, Ch.8 (Unreliable Networks)|roadmap.sh/backend — Networking; Kleppmann, DDIA, Ch.8 (Unreliable Networks)",schematic:compare,latency-budget|cloze|order,sourced,8,622,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:caching-strategies,Caching and invalidation strategies,Estrategias de cache e invalidación,spine-concept,/[locale]/lesson/technical-depth-l4,L4,technical-depth,"The page loads instantly and shows a price that changed an hour ago. Who owns that wrong answer, the cache or the code that wrote it?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,indexing-tradeoffs|network-latency-throughput,prompt-caching,"roadmap.sh/backend — Caching (Client/Server/CDN, invalidation)|roadmap.sh/backend — Caching (Client/Server/CDN, invalidation)",schematic:flow,consistency|categorize|match,sourced,8,646,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
concept:performance-engineering-methodology-capacity-planning,"Performance Engineering: Measure, Budget, Forecast","Ingeniería de rendimiento: medir, presupuestar, pronosticar",spine-concept,/[locale]/lesson/technical-depth-l4,L4,technical-depth,Everyone on the team has a theory about what is slow. How do you find out where the time and the capacity really go before rewriting anything?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,,continuous-batching,"Brendan Gregg, ""Systems Performance: Enterprise and the Cloud"", 2nd ed. (2020) — the USE method; and Jeff Dean's ""Latency Numbers Every Programmer Should Know.""|Brendan Gregg, ""Systems Performance: Enterprise and the Cloud"", 2nd ed. (2020) — the USE method; and Jeff Dean's ""Latency Numbers Every Programmer Should Know.""",schematic:flow,scaling-curves|order|cloze,sourced,8,626,,shared-foundations,F1,shared-foundation,CONVERT_TO_SHARED_FOUNDATION,"Appears in both routes' prerequisite closure; canonical definition in Codex, application per route.",high
